Company Name,Scope1+2Total,Rank,Exclusions,AssureType,Revenues,Scope1+2-Revenues,RankRevenues,SasbIndustry,RankIndustry,EpaScope1Emit,EpaScope1Rank,EpaScope1/Revenues,EpaRankRevenues
3M Company,"4,850,000.00",276.00,no,moderate,"32,960.00",147.15,255.00,Chemicals,9.00,"1,188,192.00",352,36.05,345.00
A. O. Smith Corporation,"164,253.00",138.00,yes,no assurances,"3,027.40",54.26,230.00,Electrical & Electronic Equipment,7.00,0.00,1,0.00,1.00
Abbott Laboratories,"906,100.00",225.00,no,limited,"37,338.00",24.27,167.00,Medical Equipment & Supplies,15.00,"113,543.00",322,3.04,310.00
AbbVie Inc.,,328.00,no report,no 2020 GHG data,"50,195.00",,328.00,Biotechnology & Pharmaceuticals,14.00,"154,326.00",329,3.07,312.00
"Abiomed, Inc.",,328.00,no report,no 2020 GHG data,847.52,,328.00,Medical Equipment & Supplies,16.00,0.00,1,0.00,1.00
Accenture plc,"176,928.00",145.00,no,limited,"47,949.38",3.69,59.00,Software & IT Services,23.00,0.00,1,0.00,1.00
"Activision Blizzard, Inc.",,328.00,no report,no 2020 GHG data,"8,573.00",,328.00,Software & IT Services,29.00,0.00,1,0.00,1.00
Adobe Inc.,"44,382.00",66.00,no,limited,"14,389.00",3.08,51.00,Software & IT Services,13.00,0.00,1,0.00,1.00
"Advance Auto Parts, Inc.",,328.00,no,no assurances,"10,738.81",,328.00,Multiline and Specialty Retailers & Distributors,11.00,0.00,1,0.00,1.00
Aflac Incorporated,"12,121.00",24.00,no,limited,"22,854.00",0.53,11.00,Insurance,3.00,0.00,1,0.00,1.00
"Agilent Technologies, Inc.","52,666.00",77.00,no,moderate,"5,817.00",9.05,102.00,Medical Equipment & Supplies,7.00,0.00,1,0.00,1.00
"Akamai Technologies, Inc.","105,138.00",115.00,no,limited,"3,276.56",32.09,194.00,Software & IT Services,20.00,0.00,1,0.00,1.00
"Alaska Air Group, Inc.","4,154,003.00",273.00,no,no assurances,"2,727.00","1,523.29",307.00,Airlines,1.00,0.00,1,0.00,1.00
Albemarle Corporation,"935,000.00",226.00,no,no assurances,"3,219.36",290.43,272.00,Chemicals,6.00,"242,639.00",333,75.37,349.00
"Alexandria Real Estate Equities, Inc.","212,154.00",156.00,no,no assurances,"1,948.01",108.91,251.00,Real Estate,14.00,0.00,1,0.00,1.00
