Company Name,Transparency score,Scope1+2Reported,BiogenicReported,BoundaryFirm,GwpAssessment,CalendarYearAll,DaysGhgToRelease,GghReport,Scope3Reported,GhgPermaLink
American Airlines Group Inc.,10,yes,yes,Operational Control,IPCC 5th; US EPA eGRID 2019,yes,288.00,yes,yes,https://perma.cc/GF9D-ZVDJ
AT&T Inc.,10,yes,yes,Operational Control,IPCC 5th; US EPA eGRID 2019,yes,133.00,yes,yes,https://perma.cc/4HDY-PC4D
Baker Hughes Company,10,yes,yes,Operational Control,IPCC 4th/5th; US EPA eGRID 2018,yes,214.00,yes,yes,https://perma.cc/57JY-HPGD
Dow Inc.,10,yes,yes,Operational Control,IPCC Fifth,yes,179.00,yes,yes,https://perma.cc/R8PE-T2BH
Ecolab Inc.,10,yes,yes,Operational Control,IPCC 4th/5th; US EPA eGRID 2019,yes,148.00,yes,yes,https://perma.cc/4CSW-FDX4
Exelon Corporation,10,yes,yes,Equity Share,IPCC Fourth,yes,134.00,yes,yes,https://perma.cc/5SF7-DTTA
"Mondelez International, Inc.",10,yes,yes,Operational Control,IPCC Fifth,yes,104.00,yes,yes,https://perma.cc/H7QT-NVFD
Newmont Corporation,10,yes,yes,Operational Control,IPCC Fourth,yes,154.00,yes,yes,https://perma.cc/2T8U-VXFJ
Philip Morris International Inc.,10,yes,yes,Operational Control,IPCC Fifth,yes,137.00,yes,yes,https://perma.cc/UW45-LTV6
"Republic Services, Inc.",10,yes,yes,Operational Control,IPCC 4th; EPA,yes,169.00,yes,yes,https://perma.cc/NGG4-ENZE
"United Parcel Service, Inc.",10,yes,yes,Operational Control,IPCC 5th; US EPA eGRID 2018,yes,230.00,yes,yes,https://perma.cc/UJW5-8LXN
3M Company,9,yes,yes,Operational Control,not reported,yes,104.00,yes,yes,https://perma.cc/KEK5-5T29
Aflac Incorporated,9,yes,no,Financial Control,IPCC Fourth,yes,341.00,yes,yes,https://perma.cc/AV9E-QPE2
"Akamai Technologies, Inc.",9,yes,no,Operational Control,EPA eGrid; DEFRA,yes,138.00,yes,yes,https://perma.cc/BZ6X-MSBQ
Ameren Corporation,9,"yes, exclusions",yes,Operational Control,EPA Table A-1,yes,207.00,yes,yes,https://perma.cc/YC96-5YXP
"American Electric Power Company, Inc.",9,yes,no,Equity Share,IPCC Fifth,yes,140.00,yes,yes,https://perma.cc/6SHU-QAW6
Archer-Daniels-Midland Company,9,yes,yes,Operational Control,not reported,yes,119.00,yes,yes,https://perma.cc/35KF-9675
Baxter International Inc.,9,yes,yes,Operational Control,not reported,yes,134.00,yes,yes,https://perma.cc/34YF-MY29
Chevron Corporation,9,yes,no,Operational Control,IPCC Fourth,yes,117.00,yes,yes,https://perma.cc/NB5L-Q4A2
Comerica Incorporated,9,yes,no,Operational Control,IPCC 2nd/4th/5th,yes,208.00,yes,yes,https://perma.cc/ZRE3-CD55
Eaton Corporation plc,9,"yes, exclusions",yes,Operational Control,IPCC Fifth,yes,169.00,yes,yes,https://perma.cc/GX4J-5LU7
Eli Lilly and Company,9,"yes, exclusions",yes,Operational Control,IPCC Fifth,yes,213.00,yes,yes,https://perma.cc/Z6FC-GZTH
